tileswide 64
tileshigh 64
tilewidth 16
tileheight 16

layer 0
72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,
72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,
72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,
72,72,72,72,72,72,72,72,72,72,72,72,72,124,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,123,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,
72,72,72,72,72,72,72,72,72,72,72,72,72,86,39,39,39,39,44,39,39,39,39,39,45,39,39,39,39,39,39,79,72,72,72,72,72,72,72,72,72,124,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,123,72,72,72,72,72,
72,72,72,72,72,72,72,72,72,72,72,72,72,86,53,50,53,53,50,52,53,49,53,52,53,50,53,53,53,53,53,79,72,72,72,72,72,72,72,72,72,86,38,38,38,44,38,38,38,38,38,45,38,38,38,38,38,38,77,72,72,72,72,72,
72,72,72,72,72,72,72,72,72,72,72,72,72,86,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,36,79,72,72,72,72,72,72,72,72,72,86,51,51,51,50,51,51,50,52,51,51,51,52,50,51,51,51,77,72,72,72,72,72,
85,85,85,85,85,85,85,85,85,85,85,85,85,76,17,26,26,26,27,26,26,27,26,27,26,26,27,26,26,16,48,79,72,72,72,72,72,72,72,72,72,86,63,63,63,63,64,63,63,62,63,62,63,63,64,63,63,63,77,72,72,72,72,72,
39,39,39,39,39,45,39,39,39,44,39,39,39,46,29,0,0,4,4,0,5,0,0,0,0,0,0,0,0,28,60,79,72,72,72,72,72,72,72,72,72,86,17,27,26,26,27,26,26,26,27,27,27,26,27,26,26,16,77,72,72,72,72,72,
52,51,51,52,50,51,51,51,49,52,50,51,51,58,25,0,4,4,4,4,4,4,4,4,4,4,4,5,0,14,16,79,72,72,72,72,72,72,72,72,72,86,25,4,4,4,4,4,4,4,4,4,4,4,4,4,4,24,77,72,72,72,72,72,
66,66,66,66,66,66,66,66,66,66,66,66,66,70,25,4,4,4,5,5,4,4,4,4,5,4,4,4,0,0,24,75,84,85,85,85,85,85,85,84,85,76,25,4,4,4,4,4,4,4,2,2,2,4,4,4,4,24,77,72,72,72,72,72,
26,26,27,26,26,26,27,26,26,26,27,26,26,26,15,4,4,4,2,4,4,4,4,4,4,0,4,4,4,0,24,36,38,38,44,38,38,38,38,38,38,46,25,4,4,4,4,4,4,4,4,4,4,4,4,4,4,28,77,72,72,72,72,72,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,2,2,4,4,4,2,2,4,4,4,4,5,24,48,52,52,52,52,52,50,52,52,52,58,25,4,4,2,2,4,4,4,4,4,4,4,4,4,4,24,77,72,72,72,72,72,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,2,2,0,0,0,2,4,5,4,4,5,24,60,65,65,67,65,65,65,65,65,69,70,25,4,4,4,2,4,4,4,4,4,5,5,5,5,4,28,77,72,72,72,72,72,
80,80,80,80,80,80,80,80,80,80,80,80,80,74,4,0,4,4,4,0,4,4,4,4,4,4,4,4,4,0,14,26,26,27,26,26,27,26,26,26,26,26,15,4,4,4,4,2,5,4,4,5,4,4,4,4,4,24,77,72,72,72,72,72,
72,72,72,72,72,72,72,72,72,72,72,72,72,86,13,0,4,4,4,0,4,4,4,4,4,4,4,4,4,0,0,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,5,5,4,4,4,4,4,4,4,28,77,72,72,72,72,72,
72,72,72,72,72,72,72,72,72,72,72,72,72,86,25,4,4,4,4,4,4,4,4,2,2,4,4,4,4,0,0,73,80,80,80,80,80,80,80,80,80,74,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,24,77,72,72,72,72,72,
72,72,72,72,72,72,72,72,72,72,72,72,72,86,25,4,4,5,4,4,4,4,4,2,4,4,4,5,4,0,12,79,72,72,72,72,72,72,72,72,72,86,13,4,4,4,4,4,4,4,5,4,4,4,4,4,4,24,77,72,72,72,72,72,
72,72,72,72,72,72,72,72,72,72,72,72,72,86,29,0,4,4,4,4,4,0,4,4,4,4,4,4,4,0,24,79,72,72,72,72,72,72,72,72,72,86,25,4,4,4,4,4,4,4,5,5,5,2,4,4,4,28,77,72,72,72,72,72,
72,72,72,72,72,72,72,72,72,72,72,72,72,86,25,0,0,0,4,4,4,4,4,4,5,4,4,4,0,5,24,79,72,72,72,72,72,72,72,72,72,86,25,4,4,4,4,4,4,4,4,4,4,2,2,4,4,24,77,72,72,72,72,72,
72,72,72,72,72,72,72,72,72,72,72,72,72,86,25,4,0,0,4,4,4,4,4,4,4,4,4,4,5,0,24,79,72,72,72,72,72,72,72,72,72,86,25,4,4,4,5,5,4,4,4,4,4,4,4,2,4,24,77,72,72,72,72,72,
72,72,72,72,72,72,72,72,72,72,72,72,72,86,29,4,0,0,0,4,0,0,5,4,4,4,4,5,0,0,24,79,72,72,72,72,72,72,72,72,72,86,25,4,4,4,5,5,4,4,2,2,4,4,4,2,4,24,79,72,72,72,72,72,
72,72,72,72,72,72,72,72,72,72,72,72,72,86,29,4,4,0,4,4,0,0,0,0,0,4,0,0,0,4,24,79,72,72,72,72,72,72,72,72,72,86,25,4,4,4,4,4,4,4,4,2,4,4,4,4,4,28,79,72,72,72,72,72,
72,72,72,72,72,72,72,72,72,72,72,72,72,86,25,4,4,0,4,4,0,0,0,0,0,0,0,0,4,4,24,102,85,85,85,85,85,85,85,85,85,76,25,4,4,4,4,4,4,4,4,4,4,4,4,4,4,24,79,72,72,72,72,72,
72,72,72,72,72,72,72,72,72,72,72,72,72,86,25,4,4,4,0,4,4,4,0,0,0,0,4,4,4,4,24,95,42,42,42,44,42,42,42,43,42,42,89,93,91,4,4,4,73,80,80,80,80,74,4,4,4,73,121,72,72,72,72,72,
72,72,72,72,72,72,72,72,72,72,72,72,72,122,80,80,80,80,74,4,4,4,73,80,80,80,80,80,80,80,80,105,51,55,51,51,51,52,51,51,51,51,36,39,46,13,4,12,78,72,72,72,72,87,13,4,12,78,72,72,72,72,72,72,
72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,88,13,4,12,78,72,72,72,72,72,72,72,72,86,61,61,61,61,61,67,61,61,61,61,48,55,58,25,4,24,78,72,72,124,85,76,25,4,24,75,85,85,85,85,123,72,
72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,88,25,4,24,79,72,72,72,72,72,72,72,72,86,17,27,26,26,27,26,27,26,26,16,60,61,70,25,4,24,78,72,72,86,44,46,25,4,24,36,40,45,40,40,79,72,
